City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san roque dau first,14.9784,120.5741,27.8,80,100,1.63,PH,1726542330
83,neufchateau,48.35,5.7,13.4,87,85,4.9,FR,1726542331
84,albany,42.6001,-73.9662,16.58,63,100,1.08,US,1726542332
85,nemuro,43.3236,145.575,17.85,90,88,7.67,JP,1726542333
86,longyearbyen,78.2186,15.6401,5.91,87,75,3.6,SJ,1726542335
87,tsiombe,-25.3,45.4833,18.96,95,100,2.18,MG,1726542336
88,santa eularia des riu,38.9846,1.5341,16.95,88,0,0.51,ES,1726542337
89,la gi,10.6667,107.7833,28.78,76,100,6.21,VN,1726542338
90,virginia,37.5481,-77.4467,21.25,93,100,2.57,US,1726542339
91,kursk,51.7303,36.1939,17.11,55,0,2.0,RU,1726542340
92,holualoa,19.6228,-155.9522,26.91,88,40,4.12,US,1726542341
93,constantia,44.1833,28.65,13.38,62,10,5.66,RO,1726542342
94,mahina,-17.5065,-149.489,25.87,89,75,5.14,PF,1726542343
95,linhares,-19.3911,-40.0722,21.67,91,57,1.33,BR,1726542344
96,privolzhskiy,51.4,46.0333,16.28,40,18,3.88,RU,1726542345
97,coxen hole,16.3244,-86.5366,30.6,79,20,7.72,HN,1726542346
98,sylva,58.0348,56.7635,12.97,91,25,1.02,RU,1726542347
99,puerto colombia,10.9878,-74.9547,25.05,83,100,4.64,CO,1726542349
100,st. john's,47.5649,-52.7093,18.32,86,75,8.75,CA,1726542350
101,keflavik,64.0049,-22.5624,8.24,93,75,3.09,IS,1726542351
102,cannonvale,-20.2833,148.7,22.66,55,91,9.14,AU,1726542352
103,jiuquan,39.7432,98.5174,22.06,50,17,3.98,CN,1726542353
104,dakhla,23.6848,-15.958,19.73,91,1,6.23,EH,1726542354
105,utrik,11.2278,169.8474,28.23,76,78,3.45,MH,1726542355
106,jingdezhen,29.2947,117.2079,34.12,53,98,0.12,CN,1726542356
107,saint-joseph,-21.3667,55.6167,19.21,74,60,3.88,RE,1726542357
108,claremont,34.0967,-117.7198,17.53,67,40,6.69,US,1726542358
109,queenstown,-31.8976,26.8753,10.39,88,67,1.05,ZA,1726542359
110,abong mbang,3.9833,13.1833,19.05,99,94,0.88,CM,1726542361
111,tiksi,71.6872,128.8694,1.65,98,100,2.85,RU,1726542362
112,palembang,-2.9167,104.7458,29.05,70,40,2.57,ID,1726542129
113,hammerfest,70.6634,23.6821,9.25,81,100,1.54,NO,1726542364
114,kapuskasing,49.4169,-82.4331,23.05,73,20,5.14,CA,1726542365
115,ilulissat,69.2167,-51.1,1.01,93,100,0.0,GL,1726542366
116,mexia,31.6799,-96.4822,27.03,71,0,2.06,US,1726542367
117,cabo san lucas,22.8909,-109.9124,24.31,77,7,6.26,MX,1726542074
118,richards bay,-28.783,32.0377,19.12,94,100,2.11,ZA,1726542369
119,el salto,20.3333,-104.5,19.19,94,43,1.17,MX,1726542370
120,midelt,32.6852,-4.7451,18.07,61,0,0.84,MA,1726542371
121,papatowai,-46.5619,169.4708,6.08,69,94,6.2,NZ,1726542372
122,mount pearl,47.5166,-52.7813,17.86,88,75,8.75,CA,1726542373
123,fisterra,42.9049,-9.2629,19.05,54,14,8.49,ES,1726542375
124,iqaluit,63.7506,-68.5145,2.85,86,100,9.26,CA,1726542376
125,bryne,58.7354,5.6477,10.44,93,20,1.03,NO,1726542377
126,college,64.8569,-147.8028,9.14,81,75,4.12,US,1726542378
127,weno,7.4515,151.8468,29.97,84,100,3.09,FM,1726542380
128,lebu,-37.6167,-73.65,9.18,88,100,5.17,CL,1726542381
129,sogne,58.0833,7.8167,9.27,90,71,2.35,NO,1726542382
130,jiangyou,31.7667,104.7167,27.93,66,77,1.11,CN,1726542383
131,taiobeiras,-15.8078,-42.2331,17.84,63,0,3.27,BR,1726542384
132,new plymouth,-39.0667,174.0833,5.45,79,87,4.98,NZ,1726542385
133,idah,7.1065,6.7342,23.74,97,100,1.33,NG,1726542386
134,tolanaro,-25.0319,46.9987,19.04,94,0,1.03,MG,1726542388
135,dorogobuzh,54.915,33.2972,12.24,65,4,2.66,RU,1726542389
136,djenne,13.9061,-4.5533,25.09,83,87,2.72,ML,1726542390
137,codrington,-38.2667,141.9667,13.64,60,100,8.16,AU,1726542391
138,sakakah,29.9697,40.2064,22.76,43,0,2.52,SA,1726542392
139,konarka,19.9,86.1167,29.86,71,99,1.96,IN,1726542393
140,burang,30.25,81.1667,7.31,63,15,1.94,CN,1726542394
141,georgetown,5.4112,100.3354,27.97,74,40,5.81,MY,1726542114
142,haiku-pauwela,20.9219,-156.3051,28.43,68,40,9.26,US,1726542396
143,salalah,17.0151,54.0924,26.05,78,75,2.06,OM,1726542397
144,enewetak,11.3474,162.3373,28.75,74,97,5.0,MH,1726542398
145,orsa,54.5153,30.4053,12.84,61,2,3.29,BY,1726542399
146,ancud,-41.8697,-73.8203,6.6,81,56,1.57,CL,1726542400
147,khovd,48.0056,91.6419,10.14,41,0,3.83,MN,1726542403
148,egilsstadir,65.2653,-14.3948,7.43,99,100,2.75,IS,1726542404
149,akureyri,65.6835,-18.0878,6.33,93,100,3.2,IS,1726542405
150,alice springs,-23.7,133.8833,21.75,12,48,5.14,AU,1726542406
151,hamilton,39.1834,-84.5333,22.78,54,0,0.45,US,1726542407
152,port hedland,-20.3167,118.5667,32.03,14,0,8.75,AU,1726542408
153,dhuusamarreeb,5.535,46.3861,23.89,83,40,6.76,SO,1726542409
154,taro,-8.3862,115.28,28.89,39,57,2.52,ID,1726542410
155,qarauyl,48.9451,79.255,3.78,63,7,8.84,KZ,1726542411
156,barra de santo antonio,-9.4047,-35.5072,23.59,79,27,4.49,BR,1726542412
157,ta`u,-14.2336,-169.5144,26.78,73,88,3.03,AS,1726542415
158,kapit,2.0167,112.9333,33.56,47,83,1.23,MY,1726542416
159,thinadhoo,0.5333,72.9333,28.85,75,25,3.93,MV,1726542417
